Year,Fatal accidents - by sex,Fatal accidents - by economic activities,Non-fatal accidents - by sex,Non-fatal accidents - by economic activities,Value
2018,,,,,
2018,,,,,6.2
2018,Women,,,,0.3
2018,Men,,,,12.6
2018,,"A Agriculture, forestry and fishing",,,5.3
2018,,B Mining and quarrying,,,
2018,,C Manufacturing industry,,,6.8
2018,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",,,9.4
2018,,"E Water supply, sewerage, waste management and remediation activities",,,39.6
2018,,F construction,,,25.6
2018,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,,,5.9
2018,,H Transportation and storage,,,25.5
2018,,I Accomodation and food service activities,,,
2018,,J Informații și comunicații,,,
2018,,K Financial and insurance activities,,,
2018,,L Real estate activities,,,9.1
2018,,"M Professional, scientific and technical activities",,,6.5
2018,,N Administrative and support service activities,,,7.8
2018,,O Public administration and defence; compulsory social security,,,2
2018,,P education,,,
2018,,Q Health and social work,,,
2018,,"R Arts, entertainment and recreation",,,8.2
2018,,S Other service activities,,,
2018,,,,,75.9
2018,,,Women,,49.6
2018,,,Men,,104.5
2018,,,,"A Agriculture, forestry and fishing",42.5
2018,,,,B Mining and quarrying,51.3
2018,,,,C Manufacturing industry,106
2018,,,,"D Production and supply of electric energy and heat, gas, hot water and airconditioning",122.3
2018,,,,"E Water supply, sewerage, waste management and remediation activities",132.1
2018,,,,F construction,76.8
2018,,,,G Wholesale and retail trade; repair of motor vehicles and motorcycles,55.1
2018,,,,H Transportation and storage,84.9
2018,,,,I Accomodation and food service activities,0
2018,,,,J Informații și comunicații,41
2018,,,,K Financial and insurance activities,47.7
2018,,,,L Real estate activities,27.3
2018,,,,"M Professional, scientific and technical activities",38.9
2018,,,,N Administrative and support service activities,70.6
2018,,,,O Public administration and defence; compulsory social security,261
2018,,,,P education,13.6
2018,,,,Q Health and social work,82.8
2018,,,,"R Arts, entertainment and recreation",32.8
2018,,,,S Other service activities,19.2
